Khối Lớp,Học Kỳ,STT,Mã Bài,Tên Bài Học,Tác Giả,Trọng Tâm Bài Học / Nội Dung,Phân Loại Nguồn,Tập / Trang SGK Đối Chiếu,Link Đọc Trực Tuyến
Lớp 1,Học kỳ 1,1,tv-g1-b1,Bài 1: A a,NXB Giáo Dục VN,"Nhận biết âm A, đọc đúng câu 'Nam và Hà ca hát', chào hỏi lễ phép.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 14, 15 (Chủ điểm 1: Em là học sinh)",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,2,tv-g1-b2,Bài 2: B b,NXB Giáo Dục VN,"Nhận biết âm B, ghép tiếng ba, be, bê và đọc từ ngữ ứng dụng.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 16, 17",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,3,tv-g1-b3,Bài 3: C c - D d - Đ đ,NXB Giáo Dục VN,"Phân biệt âm C, D, Đ, ghép tiếng và đọc câu ứng dụng chuẩn SGK.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 18, 19",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,4,tv-g1-b4,Bài 4: E e - Ê ê,NXB Giáo Dục VN,"Nhận biết âm E, Ê, quy tắc đánh vần có dấu thanh bé/bế.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 20, 21",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,5,tv-g1-b5,Bài 5: Ôn tập và kể chuyện,NXB Giáo Dục VN,"Tổng hợp và củng cố các âm chữ cái tuần 1, luyện đọc trôi chảy câu ngắn.",SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 22, 23",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,6,tv-g1-b6,Bài 6: O o,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 24, 25",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,7,tv-g1-b7,Bài 7: Ô ô - Ơ ơ,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 26, 27",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,8,tv-g1-b8,Bài 8: I i - K k,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 28, 29",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,9,tv-g1-b9,Bài 9: U u - Ư ư,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 30, 31",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,10,tv-g1-b10,Bài 10: Ôn tập âm chữ cái,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 32, 33",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,11,tv-g1-b11,Bài 11: L l - M m,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 34, 35",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,12,tv-g1-b12,Bài 12: N n - P p,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 36, 37",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,13,tv-g1-b13,Bài 13: R r - S s,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 38, 39",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
Lớp 1,Học kỳ 1,14,tv-g1-b14,Bài 14: T t - Th th,NXB Giáo Dục VN,Chuẩn hóa kiến thức âm vần Lớp 1 theo chương trình GDPT 2018.,SGK CHUẨN GDPT 2018,"SGK Tiếng Việt 1 Tập một — Trang 40, 41",https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tieng-viet-1-tap-mot.4695822132
