fileName,relativePath,extension,initialClass,inferredGrades,subject,sha256,decision
DA TTV1 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV1 QG 2026.HN.pdf,.pdf,non-OCR,1,math,3A341291A7DDC80D8C03954C40F83DA4AE0CA0CB3788E5CF97CA69F3A057D4DF,Đã nhập nguồn — 1 câu kiểm chứng
DA TTV1 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV1 QG 2026.pdf,.pdf,non-OCR,1,math,D4FADA7879FDFBA79CA8460A531C15E21BD3E7563CE8DAAC4A0CA568219A5561,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA TTV3 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV3 QG 2026.pdf,.pdf,non-OCR,3,math,A20B8354EBB7250B131F31B9A7633DDE4FC088363CF62B9E04B54E97B8F57452,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA TTV4 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV4 QG 2026.HN.pdf,.pdf,non-OCR,4,math,E6E160DB743C4BF245B0708ECB898728DDE0BCF01EBEE7C86EC6D7444C7DF75B,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA TTV4 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV4 QG 2026.pdf,.pdf,non-OCR,4,math,8315CD6BB1B49280D1D21C1F989425298BFE47221FE6F5F9C07918B92C304D1B,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA TTV5 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV5 QG 2026.HN.pdf,.pdf,non-OCR,5,math,6F16BE408EB7E83FAB3FAE347513231FC8BAD482E047982BE98FCBA61A08B161,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA TTV5 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DA TTV5 QG 2026.pdf,.pdf,non-OCR,5,math,966C303C3FF4BD9FAE21525CEC59AE2EF9E20243232B04C71FBE6FEB6CE949D1,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DA.TTV2 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DA.TTV2 QG 2026.HN.pdf,.pdf,non-OCR,2,math,5ED756C6214B1F31140C752676CD17C2E1CAAC1AF85E4E5DC555396BC4E63D5B,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV1 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV1 QG 2026.HN.pdf,.pdf,non-OCR,1,math,B74A9FABBF044221F63011A11DD93F13F93FBE2FFBBBF74848046550F9F737ED,Đã nhập nguồn — 1 câu kiểm chứng
DE TTV1 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV1 QG 2026.pdf,.pdf,non-OCR,1,math,7AE096CDBD53627073817C58CA7CBC4437ED7E84429517D6EFBCE548840DAD97,Đã nhập nguồn — 1 câu kiểm chứng
DE TTV2 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV2 QG 2026.HN.pdf,.pdf,non-OCR,2,math,2D56EA4106CD4917B3CFE1852D48EC076E50319DB44A2131A58EC18703B50B6D,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV2 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV2 QG 2026.pdf,.pdf,non-OCR,2,math,25F3D5AD5A3CA7B326FB4873C67FF0D88F09863E289B7A8C937352415F8E1C9C,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV3 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV3 QG 2026.pdf,.pdf,non-OCR,3,math,F503CDC73585DCEB4407590EB3F1DAF8A15972C52ED01A46B33CE4A202D19145,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV4 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV4 QG 2026.HN.pdf,.pdf,non-OCR,4,math,00E41A27425DB0516A6DA457F20C575F6C65F6B4D062BD8A1DB77BBFF2D1C10E,Đã nhập nguồn — 1 câu kiểm chứng
DE TTV4 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV4 QG 2026.pdf,.pdf,non-OCR,4,math,1F2115E8426076B91C838D44D9D37AFFDC4DC5232DFBEFCC5F121C6535A46BBC,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV5 QG 2026.HN (1).pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV5 QG 2026.HN (1).pdf,.pdf,non-OCR,5,math,E90B792E5A94F1FE91CB8EFD17535165B91B976CD46560B8A37C44F71765D1C4,Bỏ qua — bản sao trùng hash
DE TTV5 QG 2026.HN.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV5 QG 2026.HN.pdf,.pdf,non-OCR,5,math,E90B792E5A94F1FE91CB8EFD17535165B91B976CD46560B8A37C44F71765D1C4,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
DE TTV5 QG 2026.pdf,20252026 VIOLYMPIC TOÁN VQG/DE TTV5 QG 2026.pdf,.pdf,non-OCR,5,math,7C26F4C38C502317968A62D4D4F2FB8B562FFA55ED7BC2AE8AAA69F428909B41,Đã lập danh mục — chưa có câu đủ điều kiện phát hành
VIOLYMPIC TOÁN 1_329 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_CÔ THÚY_PHẦN ĐÁP ÁN.pdf,20252026 VIOLYMPIC TOÁN VQG/VIOLYMPIC TOÁN 1_329 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_CÔ THÚY_PHẦN ĐÁP ÁN.pdf,.pdf,non-OCR,1,math,D4FADA7879FDFBA79CA8460A531C15E21BD3E7563CE8DAAC4A0CA568219A5561,Bỏ qua — bản sao trùng hash
VIOLYMPIC TOÁN 1_329 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_CÔ THÚY_PHẦN ĐỀ.pdf,20252026 VIOLYMPIC TOÁN VQG/VIOLYMPIC TOÁN 1_329 CÂU HỎI ÔN TẬP VÒNG QUỐC GIA_2025-2026_CÔ THÚY_PHẦN ĐỀ.pdf,.pdf,non-OCR,1,math,7AE096CDBD53627073817C58CA7CBC4437ED7E84429517D6EFBCE548840DAD97,Bỏ qua — bản sao trùng hash
